group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
healthy,AC105402.3,47.149773,8.53869,0.0,0.0,0.36342457775189285,0.0027925160569673277
healthy,MTRNR2L8,67.274994,2.6863823,0.0,0.0,0.6618687078791913,0.2557944708182072
healthy,MTRNR2L12,46.848904,1.4078703,0.0,0.0,0.8331807970713038,0.7206553104347017
healthy,MT-ATP6,49.336758,0.4831412,0.0,0.0,0.9989183792328813,0.9980452387601229
healthy,PRKCB,38.050434,0.47727016,0.0,0.0,0.9831100757134537,0.9655589686307363
healthy,MT-CYB,42.938087,0.47254753,0.0,0.0,0.9960063233214078,0.9955319743088523
healthy,MT-CO3,52.80546,0.43804973,0.0,0.0,0.9980031616607039,0.9983244903658196
healthy,MT-CO2,40.71719,0.35155296,0.0,0.0,0.9975871536733505,0.9979521548915573
healthy,MT-CO1,40.744446,0.32569596,0.0,0.0,0.9977535568682919,0.9986037419715164
healthy,NEAT1,-42.688007,-0.5129662,0.0,0.0,0.9905982194858142,0.997114400074467
healthy,CD36,-41.78003,-0.89512336,0.0,0.0,0.842748980780431,0.9329796146327841
healthy,SLC39A11,-40.125366,-0.8952287,0.0,0.0,0.6877444046925701,0.8477147910267151
healthy,PID1,-43.251514,-1.2680864,0.0,0.0,0.6365754222481071,0.795960160104254
healthy,RPS26,-65.376724,-1.6167525,0.0,0.0,0.581412763125052,0.8363585590617146
healthy,S100A12,-36.243855,-1.053166,1.2418028227544433e-287,2.0316722048811195e-284,0.5859888509859389,0.7410406776505631
healthy,TIAM1,36.238625,1.0184304,1.5012494469590548e-287,2.3026351673638853e-284,0.716365754222481,0.5274131992925626
healthy,SLC35F1,35.640423,4.5392222,3.315802555557536e-278,4.786653559761029e-275,0.28854314002828857,0.016755096341803964
healthy,CD52,35.28027,1.1312631,1.178804539654396e-272,1.607169011536585e-269,0.6370746318329312,0.4471749045890347
healthy,XYLT1,-34.45105,-0.8869798,4.3428651629743194e-260,5.609381787608041e-257,0.6577086280056577,0.7851624313506469
healthy,IPCEF1,-34.32153,-0.9800469,3.746558965102057e-258,4.597215178128479e-255,0.5421416091188951,0.724564832914456
healthy,RGS2,34.003323,0.898507,1.9896067527846116e-253,2.325092348575579e-250,0.7362509360179715,0.595643674951131
healthy,KANSL1,33.319027,0.59519947,2.0474449590324709e-243,2.283924851800721e-240,0.8886762625842416,0.8258400819138043
healthy,HLA-DRB1,32.496933,0.7732168,1.1781127529652704e-231,1.2570463074139434e-228,0.831599966719361,0.7407614260448664
healthy,UTRN,-32.45171,-0.5124909,5.124255390472407e-231,5.239764647399306e-228,0.9554871453531908,0.9740296006702038
healthy,SASH1,-31.319593,-1.3926276,2.525052315016431e-215,2.4786923545127295e-212,0.2531824611032532,0.4711905426789537
healthy,NRG1,-31.299196,-1.4416982,4.785190749476956e-215,4.516667930112076e-212,0.284882269739579,0.4933445033975612
healthy,SH3BGRL3,-31.239357,-0.5541513,3.1142866857773547e-214,2.8306559094689657e-211,0.8499043181629087,0.914735176393931
healthy,CYFIP1,-31.222277,-0.88729036,5.3121795207354005e-214,4.655935629227409e-211,0.46185206755969715,0.6553104347016662
healthy,CTSS,30.917109,0.25948495,7.035336048345854e-210,5.953592481463986e-207,0.993926283384641,0.9884576002978683
healthy,FOS,30.75289,0.696396,1.118687585085172e-207,9.151237341858402e-205,0.8583076795074466,0.7711067671972447
healthy,CD74,30.01946,0.53423315,5.468893059022375e-198,4.329422727789294e-195,0.9292786421499293,0.8924881318067579
healthy,MED13L,-29.919155,-0.35708416,1.108885950207445e-196,8.504115657512784e-194,0.9746235127714452,0.9863166713208601
healthy,AC020656.1,29.512325,0.6646311,2.0003540231483377e-191,1.4875966085479805e-188,0.7446542973625093,0.6797914921344131
healthy,S100A9,-29.260931,-0.58990836,3.2601064299488195e-188,2.3531256440404112e-185,0.9864381396122806,0.9879921809550405
healthy,ITGAL,-28.711897,-0.73289084,2.7104244002365243e-181,1.9004721487487013e-178,0.598635493801481,0.7500698129014242
healthy,FBN2,-28.625484,-1.1841644,3.237614539268783e-180,2.207063844672089e-177,0.23496131125717615,0.44996742064600204
healthy,MT-ND5,28.08243,0.373518,1.6057120711503469e-173,1.0650210794081259e-170,0.9715450536650304,0.9544819882714326
healthy,TCF7L2,-27.68113,-0.88461685,1.1781944599471128e-168,7.608965853042657e-166,0.45228388385056995,0.6446988736851904
healthy,HLA-DRA,27.614807,0.57667184,7.389576610182863e-168,4.649938451038401e-165,0.912638322655795,0.8617704551801173
healthy,S100A8,-27.56974,-0.6225082,2.566707757211399e-167,1.5747393767431235e-164,0.9588152092520177,0.9703062459275807
healthy,GAPDH,-26.761087,-0.50452375,9.174262588226947e-158,5.491355565309208e-155,0.8355936433979533,0.8934189704924137
healthy,USP15,26.689516,0.32459012,6.229417294983468e-157,3.639907853242602e-154,0.9738746983942091,0.9726333426417202
healthy,EPHA1-AS1,-26.591112,-3.4529595,8.600885553035067e-156,4.908705403651944e-153,0.02421166486396539,0.2276831425114028
healthy,LYN,-26.231686,-0.352296,1.1566000718383487e-151,6.450936900678389e-149,0.9766203511107413,0.9878060132179093
healthy,OGFRL1,26.107565,0.5435329,2.99158285429769e-150,1.6314763294959913e-147,0.7787669523254847,0.7099506655496602
healthy,ACTG1,-26.01406,-0.49183282,3.4336953607137096e-149,1.831876474940764e-146,0.8225309925950578,0.8850414223215117
healthy,ARL17B,25.935629,2.3471155,2.6413190351748883e-148,1.3791619243027007e-145,0.27248523171644895,0.08377548170901983
healthy,RIPOR2,-25.238405,-0.4410482,1.5183445054396292e-140,7.762852605832071e-138,0.9306930693069307,0.9691892395047939
healthy,CTSD,-25.128977,-0.59258556,2.3993556606691124e-139,1.2016854544587894e-136,0.6421499292786421,0.7627292190263427
healthy,BTG1,24.941921,0.43887234,2.61305410436803e-137,1.2825392155059167e-134,0.8647974041101589,0.8198827143256073
healthy,CAMK1D,24.939888,0.6481755,2.7490997479035665e-137,1.322856017907871e-134,0.7801813794824861,0.6527040863818301
healthy,SLC8A1,-24.874697,-0.44600758,1.397994941245101e-136,6.597729587133851e-134,0.9317746900740494,0.9650004654193428
healthy,RCSD1,24.863382,0.464427,1.8531627444259353e-136,8.58084281338809e-134,0.8409185456360763,0.801452108349623
healthy,CES1,-24.514256,-3.8557005,1.0409795912440444e-132,4.730866694207425e-130,0.0168899242865463,0.2044121753700084
healthy,CSGALNACT1,-24.474775,-0.85427946,2.742366626224991e-132,1.223643988621591e-129,0.37873367168649635,0.5549660243879736
healthy,CPT1A,-23.803835,-0.7973479,3.0479763945578285e-125,1.3357212267650654e-122,0.3474498710375239,0.517173973750349
healthy,NAAA,-23.77203,-0.60394573,6.503658759687216e-125,2.800110344236561e-122,0.611032531824611,0.7362003164851532
healthy,ITGA4,-23.76434,-0.57354665,7.810724392605623e-125,3.3048790917057687e-122,0.6812546800898577,0.7826491668993764
healthy,GRB2,-23.706789,-0.30572778,3.0688387636568514e-124,1.2764808830322508e-121,0.9383476162742325,0.9484315368146701
healthy,MTRNR2L1,23.637386,4.6638017,1.5913100148746243e-123,6.508723179173026e-121,0.19119727098760297,0.010890812622172577
healthy,MICAL2,-23.395802,-0.559423,4.715524628727649e-121,1.8971096707148402e-118,0.6477244363091771,0.755189425672531
healthy,TBC1D9,23.389977,0.5663299,5.405175247394884e-121,2.139490415263191e-118,0.7303436225975539,0.6437680349995346
healthy,LRRK2,23.190582,0.4267547,5.667150003774273e-119,2.207579813374991e-116,0.917963224893918,0.8891371125383971
healthy,SERPINA1,-22.408756,-0.4905739,3.2334417757536257e-111,1.2207983787503034e-108,0.6864131791330393,0.7812529088708927
healthy,FAM118A,-22.371277,-0.95092475,7.496168096898376e-111,2.7873251706967128e-108,0.24286546301688994,0.4078004281857954
healthy,RSRP1,22.270462,0.43103307,7.146138809679207e-110,2.6175133213184687e-107,0.8132956152758133,0.7652424834776134
healthy,RPS28,-22.214066,-0.40493247,2.511504728753115e-109,9.063946698283852e-107,0.9028205341542558,0.9356790468211859
healthy,HLA-DRB5,21.799116,1.376986,2.365371200554044e-105,8.412836903303883e-103,0.3216573758216158,0.16848180210369543
healthy,PTPRJ,-21.40784,-0.39152533,1.1292680203345039e-101,3.959052355289866e-99,0.8806057076295865,0.9307456017872103
healthy,P2RX1,-21.367014,-0.8771879,2.7091509010450358e-101,9.364122853879749e-99,0.26200183043514436,0.421111421390673
healthy,FAM129A,-21.186033,-0.65211844,1.284785150746641e-99,4.3791544978435154e-97,0.42357933272318826,0.5773992367122778
healthy,SLC4A7,-21.093706,-0.8301369,9.085863028752492e-99,3.054468008063218e-96,0.28679590648140446,0.4405659499208787
healthy,UBE2J1,-21.072685,-0.645497,1.4166281521779823e-98,4.698036686837819e-96,0.3929611448539812,0.5496602438797357
healthy,NEBL,21.070936,7.96729,1.4699587616384308e-98,4.8099010625824975e-96,0.16290872784757468,0.0015824257656148189
healthy,ADK,-21.069864,-0.548252,1.5036129991228145e-98,4.855285080456972e-96,0.6196022963640901,0.724751000651587
healthy,HLA-C,21.042387,0.3801536,2.685189466988233e-98,8.558082429786783e-96,0.8664614360595724,0.8259331657823699
