Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group,n_input_genes,organism,go_library,p_adj_global
GO_Molecular_Function_2021,GTPase activator activity (GO:0005096),14/336,1.309164165879473e-09,1.8721047572076466e-07,0,0,9.897876643073811,202.44995087107105,DENND1A;DOCK8;ASAP1;ARHGAP15;ARHGAP26;AKAP13;SIPA1L1;TBC1D5;GNAQ;ELMO1;DOCK2;PLCB1;SBF2;TBC1D22A,0,100,human,GO_Molecular_Function_2021,1.269431033445031e-05
GO_Molecular_Function_2021,GTPase regulator activity (GO:0030695),8/233,2.228703234152647e-05,0.0015935228124191,0,0,7.603864734299517,81.44883936364528,SIPA1L1;TBC1D5;GNAQ;ASAP1;ARHGAP15;ARHGAP26;PLCB1;TBC1D22A,0,100,human,GO_Molecular_Function_2021,0.04568098728934754
GO_Molecular_Function_2021,guanyl-nucleotide exchange factor activity (GO:0005085),6/149,0.00010358369424193892,0.0049374894255324,0,0,8.818776967713138,80.91343069335824,AKAP13;DENND1A;DOCK8;ELMO1;DOCK2;SBF2,0,100,human,GO_Molecular_Function_2021,0.12274114077282612
GO_Molecular_Function_2021,nuclear receptor binding (GO:0016922),5/120,0.0003417770167199186,0.012218528347737,0,0,9.05491990846682,72.27050340596548,NCOA1;NCOA2;PRKCB;JMJD1C;FOXP1,0,100,human,GO_Molecular_Function_2021,0.22556298928858987
GO_Molecular_Function_2021,aryl hydrocarbon receptor binding (GO:0017162),2/8,0.0006795551666861537,0.0194352777672239,0,0,67.66666666666667,493.5655481733249,NCOA1;NCOA2,0,100,human,GO_Molecular_Function_2021,0.3110232499571776
GO_Molecular_Function_2021,nuclear receptor coactivator activity (GO:0030374),3/53,0.0023702048008991,0.0564898810880962,0,0,12.278350515463918,74.219914290735,NCOA1;NCOA2;PRKCB,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Molecular_Function_2021,ankyrin binding (GO:0030506),2/19,0.0040040456388033,0.0817969323355538,0,0,23.869147659063625,131.7684366549516,PTPRC;SLC8A1,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Biological_Process_2021,positive regulation of antigen receptor-mediated signaling pathway (GO:0050857),3/21,0.00015108790718152863,0.1323530066910191,0,0,34.16151202749141,300.5409826909726,PTPRC;PRKCB;FOXP1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Molecular_Function_2021,androgen receptor binding (GO:0050681),2/27,0.0080081065105895,0.1327897248566148,0,0,16.224489795918366,78.32049478663112,PRKCB;FOXP1,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Molecular_Function_2021,histone demethylase activity (GO:0032452),2/28,0.008596207471144,0.1327897248566148,0,0,15.599686028257455,74.19887958363982,JMJD1C;JARID2,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Molecular_Function_2021,"DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)",5/256,0.0092859947452178,0.1327897248566148,0,0,4.12015097504718,19.279208025379926,ZEB2;TRPS1;BACH1;FOXP1;ETV6,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Molecular_Function_2021,heme binding (GO:0020037),3/91,0.0107235720485245,0.1394064366308187,0,0,6.9629803186504216,31.57928099076808,TBXAS1;JAK2;BACH1,0,100,human,GO_Molecular_Function_2021,0.45274409802211457
GO_Biological_Process_2021,positive regulation of B cell receptor signaling pathway (GO:0050861),2/7,0.0005113327792346296,0.1929886524296083,0,0,81.20408163265306,615.4043164173056,PRKCB;FOXP1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,negative regulation of protein kinase activity (GO:0006469),4/90,0.0010816490463404,0.1929886524296083,0,0,9.599806201550388,65.55965417135813,PTPRC;GNAQ;PRKAG2;SLC8A1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,lipoprotein transport (GO:0042953),2/10,0.0010850384206118,0.1929886524296083,0,0,50.74489795918368,346.39177176286466,VMP1;PRKCB,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,negative regulation of response to cytokine stimulus (GO:0060761),2/11,0.0013218400851343,0.1929886524296083,0,0,45.10430839002267,298.984305122014,PTPRC;IRAK3,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,lipoprotein localization (GO:0044872),2/11,0.0013218400851343,0.1929886524296083,0,0,45.10430839002267,298.984305122014,VMP1;PRKCB,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,C-terminal protein amino acid modification (GO:0018410),2/12,0.0015810451022911,0.1978565013724402,0,0,40.59183673469388,261.8039188938469,AGTPBP1;ATG7,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,regulation of receptor signaling pathway via STAT (GO:1904892),2/13,0.0018624280503563,0.2039358715140231,0,0,36.89981447124304,231.94759321375395,PTPRC;JAK2,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,regulation of interleukin-12 production (GO:0032655),3/51,0.0021222963043568,0.206570173624066,0,0,12.791237113402062,78.73334684431502,IRAK3;PLCB1;FOXP1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,monocarboxylic acid transport (GO:0015718),3/57,0.0029180959475417,0.2130937234897771,0,0,11.36655211912944,66.3445636168701,NCOA1;NCOA2;SLCO3A1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,pyrimidine-containing compound catabolic process (GO:0072529),2/17,0.0032052883489498,0.2130937234897771,0,0,27.05442176870748,155.3722787250682,DPYD;TET2,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,regulation of tumor necrosis factor production (GO:0032680),4/124,0.0034901927235166,0.2130937234897771,0,0,6.868055555555555,38.85807320211981,PTPRC;IRAK3;JAK2;FOXP1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,cellular response to alkaloid (GO:0071312),2/18,0.003594237117374,0.2130937234897771,0,0,25.362244897959183,142.7494556250508,SPIDR;SLC8A1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,G protein-coupled acetylcholine receptor signaling pathway (GO:0007213),2/18,0.003594237117374,0.2130937234897771,0,0,25.362244897959183,142.7494556250508,GNAQ;PLCB1,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,negative regulation of kinase activity (GO:0033673),3/62,0.0037044719565665,0.2130937234897771,0,0,10.400663987419186,58.22514848728369,PTPRC;GNAQ;PRKAG2,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,regulation of glucose transmembrane transport (GO:0010827),2/19,0.0040040456388033,0.2130937234897771,0,0,23.869147659063625,131.7684366549516,PRKCB;PRKAG2,0,100,human,GO_Biological_Process_2021,0.45274409802211457
GO_Biological_Process_2021,positive regulation of GTPase activity (GO:0043547),5/214,0.0044287415592079,0.2130937234897771,0,0,4.958700579199194,26.87437105346752,SIPA1L1;TBC1D5;DOCK8;TBC1D22A;PICALM,0,100,human,GO_Biological_Process_2021,0.45274409802211457
