Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group
KEGG_2021_Human,Chemokine signaling pathway,8/192,5.457753134119031e-06,0.0008241207232519737,0,0,9.31758034026465,112.91484919651788,GRK3;PRKCB;GNAQ;ELMO1;JAK2;DOCK2;PLCB1;PIK3R5,0
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,4/53,0.00014275235595897137,0.0107778028749023,0,0,16.880102040816325,149.46316209851528,PRKCB;GNAQ;PLCB1;SLC8A1,0
KEGG_2021_Human,Cholinergic synapse,5/113,0.0002587519019564365,0.0130238457318073,0,0,9.645224171539962,79.66608769865242,PRKCB;GNAQ;JAK2;PLCB1;PIK3R5,0
KEGG_2021_Human,Thyroid hormone signaling pathway,5/121,0.0003551099070901525,0.0134053989926532,0,0,8.976406533575318,71.3003441034697,NCOA1;NCOA2;PRKCB;PLCB1;MED13L,0
KEGG_2021_Human,Apelin signaling pathway,5/137,0.0006266594552649808,0.0189251155490024,0,0,7.881977671451356,58.130431050787,GNAQ;PRKAG2;PLCB1;SLC8A1;PIK3R5,0
KEGG_2021_Human,African trypanosomiasis,3/37,0.0008329373632247138,0.0209622569744886,0,0,18.07095209217708,128.13302753808438,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Oxytocin signaling pathway,5/154,0.0010608199151585,0.0228834010269918,0,0,6.97668668315083,47.78132593492158,PRKCB;GNAQ;PRKAG2;PLCB1;PIK3R5,0
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,4/97,0.0014281711993084,0.0269567313869479,0,0,8.87410394265233,58.13745435142573,PTPRC;PRKCB;ASAP1;GAB2,0
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",4/106,0.001978777674223,0.0331994920897429,0,0,8.087418300653594,50.34641073488114,AKAP13;PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Glutamatergic synapse,4/114,0.0025784986150308,0.0376442215179295,0,0,7.496212121212121,44.681532028702,GRK3;PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Sphingolipid signaling pathway,4/119,0.0030107863925517,0.0376442215179295,0,0,7.168478260869565,41.61698745750336,PRKCB;GNAQ;GAB2;PLCB1,0
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",4/119,0.0030107863925517,0.0376442215179295,0,0,7.168478260869565,41.61698745750336,PRKCB;GNAQ;JAK2;PLCB1,0
KEGG_2021_Human,Long-term depression,3/60,0.0033760739560196,0.0376442215179295,0,0,10.766684753119913,61.27365293527066,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Platelet activation,4/124,0.0034901927235166,0.0376442215179295,0,0,6.868055555555555,38.85807320211981,GNAQ;TBXAS1;PLCB1;PIK3R5,0
KEGG_2021_Human,GnRH secretion,3/64,0.004051724989556,0.0407873648948639,0,0,10.058644583403751,55.40917594097984,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Long-term potentiation,3/67,0.0046086500826343,0.0434941351548613,0,0,9.58569587628866,51.56932115539997,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Estrogen signaling pathway,4/137,0.0049739964840798,0.0441807922997682,0,0,6.192669172932331,32.84301689755327,NCOA1;NCOA2;GNAQ;PLCB1,0
KEGG_2021_Human,Thyroid hormone synthesis,3/75,0.0063121368856795,0.0515799512458459,0,0,8.517182130584192,43.1419208970586,PRKCB;GNAQ;PLCB1,0
KEGG_2021_Human,Gastric acid secretion,3/76,0.00654799848395,0.0515799512458459,0,0,8.400084733794662,42.24063124042488,PRKCB;GNAQ;PLCB1,0
