Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,group,library
prerank,Olfactory_transduction,-0.7606664001611957,-1.4046568351145101,0.0,0.8690804950393781,0.51,22/95,6.02%,OR10H1;OR52I1;OR2AJ1;OR2AT4;OR10H5;OR1A1;OR2L5;OR56B1;OR6C75;CAMK2A;OR10R2;OR6J1;OR52N5;OR3A1;OR1L6;OR2T8;OR7G2;OR2L8;OR2F1;OR9G4;OR4D1;OR4N2,0,KEGG
prerank,Ribosome_FAU,-0.7940647667221468,-1.4026793098966228,0.0,0.45951382496334936,0.53,110/131,16.06%,RPL3L;RPS4Y1;RPS8;RPS12;RPL28;RPS28;RPS27;RPS15A;RPS15;RPL18A;RPS3A;RPL36;RPL12;RPS13;RPL41;RPS3;RPL32;RPL18;RPL39;UBA52;RPS27A;RPL37A;RPL19;RPS23;RPS14;RPL30;RPLP2;RPL26;RPL35A;RPS16;RPL29;RPL37;RPS10;RPS24;RPS11;RPS18;RPL8;RPS5;RPL10;RPS20;RPL34;RPL11;RPS2;RPLP1;RPS19;RPS4X;RPL13A;RPS6;RPL13;RPL22;RPL7;RPL27;RPL35;RPL6;RPL9;RPL21;RPL7A;RPL15;RPS21;RPL23;RPL3;RPL36A;RPLP0;RPS7;RPL10A;RPS25;RPL23A;RPL24;RPL27A;RPL38;RPL5;RPS29;RPS26;RPL14;RPL4;RPSA;RPL36AL;RPS17;MRPL36;MRPL17;MRPS12;RPS9;MRPL11;RPL26L1;MRPL23;RPL31;MRPL34;MRPL12;MRPS2;MRPL14;MRPL35;MRPL28;RPL17;MRPL27;MRPL21;MRPL15;MRPL30;RSL24D1;MRPL10;MRPS7;MRPL33;MRPL18;MRPL9;RPS27L;MRPL24;MRPL32;MRPS17;MRPS21;MRPS18C;MRPS18A,0,KEGG
prerank,Pentose_and,-0.866373466236304,-1.3495186787825078,0.02564102564102564,1.0,0.92,4/15,4.96%,DHDH;UGT2B7;UGT2B17;AKR1B10,0,KEGG
prerank,Basal_cell,-0.7647000980746207,-1.3350141119205834,0.0,1.0,0.96,10/57,6.21%,WNT5A;BMP4;WNT8B;WNT11;FZD7;WNT7A;WNT10A;BMP2;WNT8A;LEF1,0,KEGG
prerank,PPAR_signaling,0.3608636376857899,1.3141765129514964,0.0,1.0,0.76,9/64,7.26%,HMGCS2;APOA2;UCP1;CYP8B1;FABP6;CYP7A1;ACADL;MMP1;SLC27A2,0,KEGG
prerank,Ascorbate_and,-0.7823151706273999,-1.3140909916576047,0.12987012987012986,1.0,1.0,3/13,7.55%,UGT2B7;UGT2B17;ALDH1B1,0,KEGG
prerank,TGF-beta_signaling,-0.7150953981540078,-1.3120293960580571,0.02,1.0,1.0,11/87,7.43%,BMP4;AMH;FST;GDF7;DCN;CHRD;BMP2;INHBE;LEFTY2;ID3;BAMBI,0,KEGG
prerank,Bile_secretion,-0.7447980927268227,-1.311378062545573,0.01020408163265306,1.0,1.0,8/65,5.10%,ATP1A2;SCT;AQP1;UGT2B7;UGT2B17;SLC51B;KCNN2;ATP1B4,0,KEGG
prerank,Antigen_processing,-0.7365461178041882,-1.2981815076514067,0.03,1.0,1.0,49/66,22.65%,KLRC1;KLRC4;KIR2DL4;KIR2DL1;KLRC2;CD8A;KIR2DL3;HSPA8;PSME1;HLA-B;PSME2;HLA-DPA1;HLA-A;HSPA1A;HSP90AB1;HLA-C;HLA-DOA;B2M;CALR;RFXANK;HLA-DPB1;HSP90AA1;HLA-DRA;TAP1;HLA-DMA;CTSL;TNF;HLA-E;CD8B;CANX;HLA-DRB1;HSPA5;HLA-DQA2;HSPA1B;HSPA6;CD74;CTSB;RFX5;TAP2;CD8B2;PDIA3;HSPA2;NFYB;HLA-G;HSPA1L;PSME3;TAPBP;CTSS;HLA-DQA1,0,KEGG
prerank,Coronavirus_disease,-0.7100656173127503,-1.2906572222123067,0.0,1.0,1.0,88/197,9.07%,RPL3L;C1QC;RPS4Y1;RPS8;RPS12;RPL28;RPS28;RPS27;RPS15A;RPS15;RPL18A;RPS3A;RPL36;RPL12;RPS13;RPL41;RPS3;RPL32;FAU;RPL18;RPL39;UBA52;RPS27A;RPL37A;RPL19;RPS23;C8G;RPS14;RPL30;RPLP2;RPL26;RPL35A;RPS16;RPL29;RPL37;RPS10;RPS24;RPS11;RPS18;RPL8;RPS5;RPL10;RPS20;RPL34;RPL11;RPS2;RPLP1;RPS19;RPS4X;RPL13A;RPS6;RPL13;RPL22;RPL7;RPL27;RPL35;RPL6;RPL9;RPL21;RPL7A;RPL15;RPS21;RPL23;RPL3;RPL36A;RPLP0;RPS7;RPL10A;RPS25;RPL23A;RPL24;RPL27A;CCL2;RPL38;RPL5;ISG15;RPS29;RPS26;RPL14;RPL4;RPSA;RPL36AL;RPS17;C1QA;RPS9;C1QB;RPL26L1;RPL31,0,KEGG
prerank,Type_I,-0.7487694019332463,-1.288506482192201,0.06451612903225806,1.0,1.0,19/37,17.05%,CD28;PRF1;PTPRN;GZMB;LTA;HLA-B;HLA-DPA1;HLA-A;HLA-C;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DMA;GAD2;TNF;HLA-E;HLA-DRB1;HLA-DQA2;HSPD1,0,KEGG
prerank,Tyrosine_metabolism,-0.7632668643795634,-1.2880171666471305,0.09411764705882353,0.9698829349028795,1.0,7/27,7.65%,ADH4;TYR;AOC3;ADH6;AOX1;AOC2;DCT,0,KEGG
prerank,Graft-versus-host_disease,-0.7658470776434677,-1.286984291910214,0.03333333333333333,0.9032110508790472,1.0,18/34,17.02%,CD28;PRF1;KLRC1;KIR2DL1;GZMB;KIR2DL3;HLA-B;HLA-DPA1;HLA-A;HLA-C;HLA-DOA;HLA-DPB1;HLA-DRA;HLA-DMA;TNF;HLA-E;HLA-DRB1;HLA-DQA2,0,KEGG
